Column1,ID,Year,h,K,M,Y
366,13,176,5,14.23571,130.0406,252.1584
367,13,177,5,72.74788,485.5301,617.4759
368,13,178,5,105.582,188.851,359.5908
369,13,179,5,89.74469,131.155,217.7005
370,13,180,5,76.28298,103.3771,120.9725
371,13,181,5,64.84054,172.8667,252.6087
372,13,182,5,55.11446,188.9064,273.815
373,13,183,5,46.84729,275.903,496.2339
374,13,184,5,58.26167,283.8897,307.6882
375,13,185,5,52.19884,513.6454,630.884
376,13,186,5,153.9404,504.8942,548.3967
377,13,187,5,130.8493,257.6894,373.9612
378,13,188,5,111.2219,236.3624,220.4547
379,13,189,5,94.53866,503.3361,857.9551
380,13,190,5,86.00182,278.3828,427.0151
381,13,191,5,73.10155,406.4066,587.662
382,13,192,5,73.216,136.2289,170.8216
383,13,193,5,62.23359,70.48917,106.5351
384,13,194,5,52.89856,78.59808,73.88239
385,13,195,5,44.96377,102.7926,141.4788
386,13,196,5,38.21921,75.45072,112.2617
387,13,197,5,32.48632,46.64388,60.87493
388,13,198,5,27.61338,28.09811,74.99505
389,13,199,5,23.47137,31.84923,61.4519
390,13,200,5,19.95066,50.83402,69.94714
391,14,171,2,888.9866,2377.11,3715.506
392,14,172,2,822.3126,5510.758,11418.83
393,14,173,2,1519.144,5985.6,11957.46
394,14,174,2,1405.209,5633.49,11452.4
395,14,175,2,1314.533,1466.432,3824.255
396,14,176,2,1215.943,833.9912,1037.416
397,14,177,2,1124.747,1590.098,1740.753
398,14,178,2,1040.391,2151.659,5294.015
399,14,179,2,962.362,1962.16,3695.643
400,14,180,2,890.1848,1198.861,1584.606
401,14,181,2,823.421,1436.629,1879.567
402,14,182,2,761.6644,1330.171,2445.776
403,14,183,2,704.5396,1386.786,2061.954
404,14,184,2,651.6991,1770.878,3797.007
405,14,185,2,602.8217,1078.082,2284.985
406,14,186,2,557.61,1120.132,1791.579
407,14,187,2,515.7893,874.7648,992.9871
408,14,188,2,477.1051,1356.991,2171.065
409,14,189,2,449.4487,679.5777,694.5667
410,14,190,2,415.74,695.6213,806.1982
411,14,191,2,384.5595,920.182,1380.177
412,14,192,2,355.7209,628.5209,978.7136
413,14,193,2,329.0418,217.5866,358.9574
414,14,194,2,304.3637,357.6783,671.0382
415,14,195,2,281.5364,738.3928,1343.438
416,14,196,2,265.3819,499.8398,831.1059
417,14,197,2,245.4783,414.7056,534.0867
418,14,198,2,227.0674,308.2152,598.4736
419,14,199,2,210.0373,353.6003,526.9222
420,14,200,2,194.2845,75.70824,163.6371
421,15,171,1,466.9219,1006.182,1112.122
422,15,172,1,477.8604,941.2955,1436.746
423,15,173,1,462.6075,636.6284,1093.756
424,15,174,1,439.4771,481.1337,488.0072
425,15,175,1,417.5033,494.7883,502.0979
426,15,176,1,396.6281,314.6413,731.2424
427,15,177,1,376.7967,440.168,700.2362
428,15,178,1,357.9569,284.0893,810.2903
429,15,179,1,340.059,494.4968,852.4695
430,15,180,1,323.5575,1459.594,1791.021
431,15,181,1,1148.458,2268.631,2647.422
432,15,182,1,1091.036,3515.984,6275.295
433,15,183,1,1242.311,2073.927,2717.603
434,15,184,1,1180.195,5922.224,10864.89
435,15,185,1,2401.321,5944.846,10220.42
436,15,186,1,2281.256,2110.877,2270.458
437,15,187,1,2167.193,4122.887,4515.092
438,15,188,1,2058.833,3579.422,4964.351
439,15,189,1,1955.891,1552.468,1197.532
440,15,190,1,1858.097,1613.029,3859.0
441,15,191,1,1765.192,2029.714,3071.499
442,15,192,1,1676.932,1037.344,2295.76
443,15,193,1,1593.086,632.7889,766.9086
444,15,194,1,1513.432,686.5287,919.3361
445,15,195,1,1437.76,610.9046,1028.154
446,15,196,1,1365.872,1076.875,1265.548
447,15,197,1,1297.578,1901.339,2763.35
448,15,198,1,1232.699,3736.726,6343.726
449,15,199,1,1272.741,2148.779,3533.726
450,15,200,1,1209.104,2938.262,3654.11
451,16,171,1,1492.772,3866.94,7509.007
452,16,172,1,1420.404,3795.384,7212.318
453,16,173,1,1357.886,1134.75,1718.068
454,16,174,1,1289.992,441.7137,650.1763
455,16,175,1,1225.492,868.6259,1062.587
456,16,176,1,1164.218,553.7341,590.4241
457,16,177,1,1106.007,579.3779,1011.323
458,16,178,1,1050.707,1717.236,2043.935
459,16,179,1,998.1712,2932.631,7940.791
460,16,180,1,993.1193,1846.061,3333.098
461,16,181,1,943.4633,1406.048,899.5477
462,16,182,1,896.2902,1412.751,3373.423
463,16,183,1,851.4756,1803.818,3911.504
464,16,184,1,816.9408,995.5526,1134.601
465,16,185,1,776.0938,886.9604,1249.469
466,16,186,1,737.2891,571.3936,959.0961
467,16,187,1,700.4246,1392.378,973.4839
468,16,188,1,671.9873,1320.571,2372.284
469,16,189,1,643.0279,687.8018,795.054
470,16,190,1,610.8765,690.3189,1354.591
471,16,191,1,580.3326,475.2596,948.4954
472,16,192,1,551.316,495.4532,626.1802
473,16,193,1,523.7502,407.1028,810.8176
474,16,194,1,497.5627,421.9514,510.3441
475,16,195,1,472.6846,795.8649,1206.129
476,16,196,1,450.1275,320.5157,411.8844
477,16,197,1,427.6212,262.8946,465.957
478,16,198,1,406.2401,226.4141,386.8263
479,16,199,1,385.9281,305.8012,443.4996
480,16,200,1,366.6317,87.31844,189.8239
481,17,171,4,51.54742,110.9557,111.1958
482,17,172,4,45.104,201.4343,434.7988
483,17,173,4,50.72826,312.4033,458.6528
484,17,174,4,106.7305,254.515,313.6453
485,17,175,4,93.38917,205.3992,312.0171
486,17,176,4,81.71552,63.29337,87.21989
487,17,177,4,71.50108,76.09091,93.28903
488,17,178,4,62.56345,40.89059,79.18562
489,17,179,4,54.74302,31.18218,76.89937
490,17,180,4,47.90014,41.04174,66.39368
491,17,181,4,41.91262,90.29552,130.2406
492,17,182,4,36.67354,74.36036,157.7249
493,17,183,4,32.08935,23.69979,23.85508
494,17,184,4,28.07818,26.8115,61.65187
495,17,185,4,24.56841,49.45304,95.8121
496,17,186,4,21.49736,24.72835,39.8545
497,17,187,4,18.81019,14.23851,13.85443
498,17,188,4,16.45892,7.232944,10.87411
499,17,189,4,14.40155,20.40365,19.19272
500,17,190,4,12.60136,17.4357,53.02998
501,17,191,4,11.02619,24.43224,42.55234
502,17,192,4,9.647914,24.71059,35.02341
503,17,193,4,8.466474,40.36889,41.93499
504,17,194,4,21.42357,65.76407,75.98763
505,17,195,4,19.42406,34.32533,61.40736
506,17,196,4,16.99606,29.27072,42.08715
507,17,197,4,14.87155,20.90351,24.36016
508,17,198,4,13.0126,32.3317,46.90039
509,17,199,4,11.38603,33.53136,38.1651
510,17,200,4,10.92841,23.92723,33.87225
511,18,171,5,89.0886,43.18881,83.13597
512,18,172,5,75.72531,110.4855,163.1469
513,18,173,5,64.36652,140.9649,247.1557
514,18,174,5,54.71154,108.0069,116.1936
515,18,175,5,46.50481,62.6465,82.36102
516,18,176,5,39.52908,45.62595,63.09092
517,18,177,5,33.59972,67.62162,85.68642
518,18,178,5,28.55976,194.2105,269.8983
519,18,179,5,57.68394,248.689,348.2484
520,18,180,5,49.59871,143.4831,259.4641
521,18,181,5,42.1589,110.4663,151.4043
522,18,182,5,35.83506,142.6906,334.0158
523,18,183,5,30.94202,110.2772,142.8039
524,18,184,5,26.30071,245.7795,437.9343
525,18,185,5,119.2709,610.2,1204.912
526,18,186,5,105.5071,971.7576,1473.753
527,18,187,5,216.5759,621.76,815.8783
528,18,188,5,184.0895,250.6213,485.6996
529,18,189,5,156.4761,214.9168,297.0672
530,18,190,5,133.0047,94.4909,142.7515
531,18,191,5,113.054,114.8046,172.1608
532,18,192,5,96.09588,45.36598,39.87343
533,18,193,5,81.6815,58.66227,103.7801
534,18,194,5,69.42928,30.29838,41.82522
535,18,195,5,59.01488,25.23796,40.34975
536,18,196,5,50.16265,30.15136,30.66091
537,18,197,5,42.63825,24.10251,28.6703
538,18,198,5,36.24252,22.08275,33.71543
539,18,199,5,30.80614,33.67625,59.8131
540,18,200,5,26.18522,63.27843,92.50066
541,19,171,5,1.0255,2.251107,3.052674
542,19,172,5,1.015088,4.255947,5.023469
543,19,173,5,2.585371,10.57011,15.82733
544,19,174,5,3.722972,7.383057,12.802
545,19,175,5,3.164526,5.708929,8.856814
546,19,176,5,2.689847,3.786991,5.020825
547,19,177,5,2.28637,7.146948,9.001297
548,19,178,5,2.434129,8.289112,17.75876
549,19,179,5,2.776796,16.10092,18.50712
550,19,180,5,10.80067,56.37432,92.39203
551,19,181,5,18.27191,66.88004,112.4347
552,19,182,5,16.30254,239.0747,378.9919
553,19,183,5,177.3532,1683.371,2625.182
554,19,184,5,371.8615,2581.178,3352.31
555,19,185,5,332.4353,1633.073,2692.303
556,19,186,5,282.57,1650.733,3698.033
557,19,187,5,240.1845,499.9158,675.3244
558,19,188,5,204.1568,388.8616,771.6886
559,19,189,5,173.5333,584.1052,960.1671
560,19,190,5,147.5033,266.3392,303.6816
561,19,191,5,125.3778,199.3509,219.5245
562,19,192,5,106.5712,429.7085,802.8871
563,19,193,5,90.58548,238.4368,159.1577
564,19,194,5,76.99766,129.3502,190.8804
565,19,195,5,65.44801,145.2359,281.9528
566,19,196,5,55.63081,126.9057,208.0029
567,19,197,5,47.28619,55.6718,97.82777
568,19,198,5,40.19326,125.643,152.7099
569,19,199,5,34.16427,85.52437,94.04125
570,19,200,5,29.03963,28.45499,65.77728
571,20,171,5,5.006151,16.02378,21.94165
572,20,172,5,4.459779,14.35085,30.8372
573,20,173,5,4.038111,13.67445,23.32433
574,20,174,5,3.774003,7.373713,11.80737
575,20,175,5,3.207903,12.16123,23.78476
576,20,176,5,3.736106,10.34333,14.97183
577,20,177,5,3.224703,13.70368,25.93256
578,20,178,5,5.091734,17.04906,38.88614
579,20,179,5,4.570881,16.15609,27.37087
580,20,180,5,4.274041,6.46068,13.30856
581,20,181,5,3.632935,7.266468,14.22844
582,20,182,5,3.087995,6.797373,17.13505
583,20,183,5,2.649045,11.38877,15.38574
584,20,184,5,4.201872,21.59028,20.8212
585,20,185,5,10.77175,44.76651,120.7684
586,20,186,5,12.31613,59.70724,100.613
587,20,187,5,17.02921,47.85561,93.99712
588,20,188,5,14.47483,25.43249,45.90987
589,20,189,5,12.30361,41.68546,71.87939
590,20,190,5,11.09828,35.91252,54.28285
591,20,191,5,9.97677,77.79208,131.6755
592,20,192,5,39.04927,669.497,566.4336
593,20,193,5,384.6372,1496.779,2112.109
594,20,194,5,326.9416,821.3161,1969.501
595,20,195,5,277.9004,606.3233,613.274
596,20,196,5,236.2153,382.8346,470.9678
597,20,197,5,200.783,229.8526,305.4347
598,20,198,5,170.6656,94.36902,137.1031
599,20,199,5,145.0657,126.544,150.4025
600,20,200,5,123.3059,229.4563,439.0897
601,21,171,3,64.72812,12.03899,18.50879
602,21,172,3,58.25531,27.56335,33.9073
603,21,173,3,52.42978,23.40793,43.89222
604,21,174,3,47.1868,20.98275,30.70742
605,21,175,3,42.46812,43.86281,63.7459
606,21,176,3,38.22131,87.24841,148.4844
607,21,177,3,34.45992,50.30173,59.62946
608,21,178,3,31.01393,61.57242,97.53886
609,21,179,3,27.91253,27.10704,42.08007
610,21,180,3,25.12128,31.65239,43.38947
611,21,181,3,22.60915,20.41924,27.86956
